Building Name,ADDRESS
FORESTRY GREENHOUSE,1807 S. ORCHARD URBANA IL
ORCHARD SOUTH APARTMENTS,S. ORCHARD URBANA IL
"510 E CHALMERS, CHAMPAIGN",510 E. CHALMERS CHAMPAIGN IL
"57 E ARMORY, CHAMPAIGN",57 E. ARMORY CHAMPAIGN IL
602 S. SIXTH ST.,602 S. SIXTH ST. CHAMPAIGN IL
1110 W. MAIN,1110 W. MAIN URBANA IL
"408 S GOODWIN, URBANA",408 S. GOODWIN URBANA IL
DANCE STUDIO,905 W. NEVADA URBANA IL
WASTE TRANSFER & MAT. RECOVERY FACILITY,10 ST. MARY'S ROAD CHAMPAIGN IL
1210 W. CALIFORNIA,1210 W. CALIFORNIA URBANA IL
WARDALL HALL - ISRH - WOMEN'S BLDG,1012 W. ILLINOIS ST. URBANA IL
TOWNSEND HALL - ISRH - MEN'S BLDG,918 W. ILLINOIS ST. URBANA IL
LOUNGE BUILDING - ISRH,1010 W. ILLINOIS ST. URBANA IL
FOOD SERVICE BUILDING - ISRH,1010 W. ILLINOIS ST. URBANA IL
LIBRARY AIR CONDITIONING CENTER CHILLER PLANT,608 E. GREGORY DRIVE CHAMPAIGN IL
POLICE TRAINING INSTITUTE - TACTICAL,609 1/2 E. CURTIS CHAMPAIGN IL
"1210 W SPRINGFIELD, URBANA",1210 W. SPRINGFIELD URBANA IL
"51 E ARMORY, CHAMPAIGN",51 E. ARMORY CHAMPAIGN IL
"CREDIT UNION BUILDING, UOFI EMPLOYEE",2201 S. FIRST ST. CHAMPAIGN IL
ADMIN INFORMATION TECHNOLOGY BLDG,50 E. GERTY CHAMPAIGN IL
STATE REGIONAL OFFICE BUILDING,2125 S. FIRST CHAMPAIGN IL
DRIVER TRAINING FACILITY,8 E. GERTY CHAMPAIGN IL
"912 W ILLINOIS, URBANA",912 W. ILLINOIS URBANA IL
907 W. NEVADA,907 W. NEVADA ST. URBANA IL
CLINICAL SKILLS LEARNING CENTER,1102 W. HAZELWOOD URBANA IL
PHYSICS RESEARCH LAB STORAGE BLDG,301 E. HAZELWOOD CHAMPAIGN IL
WATER SURVEY RESEARCH CENTER #2,30 BAILEY DR. CHAMPAIGN IL
FSI - FIRE STATION,GERTY DR. CHAMPAIGN IL
SHERMAN HALL - SINGLE GRAD HOUSING,909 S. FIFTH CHAMPAIGN IL
VETERINARY TEACHING HOSPITAL,1008 W HAZELWOOD DR. URBANA IL
FSI - CLASSROOM/OFF,11 GERTY DR. CHAMPAIGN IL
TRELEASE HALL - FARH - WOMEN'S BLDG,901 COLLEGE COURT URBANA IL
OGLESBY HALL - FARH - MEN'S BLDG,1005 COLLEGE COURT URBANA IL
FOOD SERVICE BUILDING - FARH,1001 COLLEGE COURT URBANA IL
PHYSICAL PLANT STORAGE BUILDING 'A',1501 S. OAK CHAMPAIGN IL
POLICE TRAINING INSTITUTE STORAGE,609 1/2 E. CURTIS CHAMPAIGN IL
ASTRONOMY BUILDING,1002 W. GREEN URBANA IL
CERL-MAIN BUILDING 1,2902 NEWMARK DR. CHAMPAIGN IL
DRIVER TRAINING SITE STORAGE BLDG,6 E. GERTY CHAMPAIGN IL
PLAY FIELD SERVICE BUILDING,1006 W. ST. MARYS RD. URBANA IL
TRACK STADIUM,1615 S. WRIGHT ST. CHAMPAIGN IL
CLAY HYDROLOGY LABORATORY,1835 S. OAK ST. CHAMPAIGN IL
BUILDING RESEARCH COUNCIL BUILDING,1 E. ST. MARYS RD. CHAMPAIGN IL
BIOLOGICAL CONTROL LABORATORY,1904 S. GRIFFITH DR. CHAMPAIGN IL
1208 W. CALIFORNIA,1208 W. CALIFORNIA URBANA IL
NATURAL HISTORY SURVEY STORAGE B #4,1823 S. OAK ST. CHAMPAIGN IL
301 S. WRIGHT,301 S. WRIGHT ST. CHAMPAIGN IL
NATURAL HISTORY SURVEY STORAGE B #3,1833 S. OAK ST. CHAMPAIGN IL
NATURAL HISTORY SURVEY STORAGE B #2,1831 S. OAK ST. CHAMPAIGN IL
NATURAL HISTORY SURVEY STORAGE B #1,1821 S. OAK ST. CHAMPAIGN IL
BUILDING RESEARCH COUNCIL LABORATORY,1800 S. GRIFFITH CHAMPAIGN IL
SHOP AND EQUIPMENT BUILDING,1825 S. OAK ST. CHAMPAIGN IL
ILLINOIS FIELD PRESS BOX,FLORIDA AVENUE AND WRIGHT STREET URBANA IL
TV ANNEX,1108 W. MAIN URBANA IL
ENGINEERING SENIOR DESIGN LAB ANNEX,1011 W. WESTERN URBANA IL
NATURAL RESOURCE STUDIES ANNEX,1910 GRIFFITH DR. CHAMPAIGN IL
AQUATIC RESEARCH FIELD LABORATORY,51 E. HAZELWOOD DRIVE URBANA IL
PUBLIC SAFETY BUILDING,1110 W. SPRINGFIELD URBANA IL
GRAINGER ENGINEERING LIBRARY INFORMATION CENTER,1301 W. SPRINGFIELD URBANA IL
NATURAL HISTORY SURVEY STORAGE B #5,1817 S. OAK ST. CHAMPAIGN IL
AGRICULTURE SERVICES BUILDING,1917 S. WRIGHT CHAMPAIGN IL
SOUTH STUDIO 2 (SCULPTURE BUILDING),2122 GRIFFITH DR. CHAMPAIGN IL
SOUTH STUDIO 1 (ART STUDIO),2128 GRIFFITH DR. CHAMPAIGN IL
AGRICULTURE SERVICES WAREHOUSE,1919 S. WRIGHT CHAMPAIGN IL
ILLINOIS STATE ARCHAEOLOGICAL SURVEY REPOSITORY,2127 S. GRIFFITH DR. CHAMPAIGN IL
LIBRARY AND INFORMATION SCIENCE BLDG,501 E. DANIEL ST. CHAMPAIGN IL
ERLANGER HOUSE,303 W INDIANA URBANA IL
912 1/2 W. ILLINOIS,912 1/2 W. ILLINOIS URBANA IL
BECKWITH HALL,201 E. JOHN CHAMPAIGN IL
"MADIGAN LABORATORY, EDWARD R",1201 W. GREGORY DR. URBANA IL
PALEOBOTANICAL BUILDING,2115 GRIFFITH DR. CHAMPAIGN IL
